"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"2191","noroBE",8,3,"naive",249,6.64116993653208,17.7658316353377,4,9,1,17,5,2.24775321207017,2.51004511553139
"2192","noroBE",8,4,"naive",249,6.66872252762137,17.88588271149,4,9,1,17,6,2.31535106577356,2.5269661020279
"2193","noroBE",9,1,"naive",249,3.40134560519988,6.31943875234282,2,5,0,9,2,1.71472233526171,2.16316584357899
"2194","noroBE",9,2,"naive",249,4.04041960687386,8.15808039139397,2,6,0,11,1,2.09209822529025,2.36954714570037
"2195","noroBE",9,3,"naive",249,4.87633853245965,10.8740465974466,2,7,0,13,4,2.0311877864256,2.51004511553139
"2196","noroBE",9,4,"naive",249,4.89656926934514,10.9441466179905,2,7,0,13,3,1.99423442687575,2.5269661020279
"2197","noroBE",10,1,"naive",249,7.96288995561977,23.9562256995908,4,11,1,20,6,2.39563467645726,2.16316584357899
"2198","noroBE",10,2,"naive",249,9.45902605571139,32.0268907830903,5,13,1,23,9,2.63714477148217,2.36954714570037
"2199","noroBE",10,3,"naive",249,11.4159957932422,44.28792754483,7,15,2,27,5,2.87133751243232,2.51004511553139
"2200","noroBE",10,4,"naive",249,11.4633579699331,44.6086107420104,7,15,2,27,5,2.87819937098332,2.5269661020279
"2201","noroBE",11,1,"naive",249,5.5211125275674,13.2097754926215,3,8,0,14,7,2.49850650901246,2.16316584357899
"2202","noroBE",11,2,"naive",249,6.55846652984543,17.4077795504365,3,9,1,17,10,2.9900465192763,2.36954714570037
"2203","noroBE",11,3,"naive",249,7.91534201025141,23.7182494395846,4,11,1,20,7,2.44468619268985,2.51004511553139
"2204","noroBE",11,4,"naive",249,7.9481808298908,23.8824850635836,4,11,1,20,10,2.80038253540937,2.5269661020279
"2205","noroBE",12,1,"naive",249,4.14360532702913,8.47426835115404,2,6,0,11,2,1.89258864173058,2.16316584357899
"2206","noroBE",12,2,"naive",249,4.9221414550997,11.0330503282005,2,7,0,13,5,2.16019546178001,2.36954714570037
"2207","noroBE",12,3,"naive",249,5.94047905293936,14.841515187432,3,8,0,15,4,2.14682128050539,2.51004511553139
"2208","noroBE",12,4,"naive",249,5.96512464878833,14.9401704368078,3,8,0,15,4,2.15005332646926,2.5269661020279
"2209","noroBE",1,1,"naive",250,4.53949771425887,9.71770471169912,2,6,0,12,5,2.16918921121453,2.36824505124803
"2210","noroBE",1,2,"naive",250,5.47847826487593,13.0204289737152,3,7,0,14,12,3.90763199709312,2.5081800278304
"2211","noroBE",1,3,"naive",250,5.50125650778921,13.106052960802,3,7,0,14,9,2.98566911207696,2.5248546811042
"2212","noroBE",1,4,"naive",250,6.53172762781708,17.2523484712558,3,9,1,16,6,2.30950066734638,2.56389728277002
"2213","noroBE",2,1,"naive",250,3.16155737370214,5.67324680818167,1,4,0,9,4,2.04626635984459,2.36824505124803
"2214","noroBE",2,2,"naive",250,3.81551538192881,7.47373876313416,2,5,0,10,4,1.99341458269215,2.5081800278304
"2215","noroBE",2,3,"naive",250,3.83137941058913,7.52008612158812,2,5,0,10,3,1.8374322988717,2.5248546811042
"2216","noroBE",2,4,"naive",250,4.54905651342761,9.74909392344944,2,6,0,12,3,1.93586428032224,2.56389728277002
"2217","noroBE",3,1,"naive",250,4.50802950565802,9.61469373781972,2,6,0,12,5,2.1707397060136,2.36824505124803
"2218","noroBE",3,2,"naive",250,5.44050095819884,12.8782511185526,3,7,0,14,6,2.31246172881046,2.5081800278304
"2219","noroBE",3,3,"naive",250,5.46312130027271,12.9628489200199,3,7,0,14,9,2.99596151062715,2.5248546811042
"2220","noroBE",3,4,"naive",250,6.48644910132493,17.0589524861488,3,9,1,16,2,2.51155172218114,2.56389728277002
"2221","noroBE",4,1,"naive",250,3.88604812173981,7.68077175667116,2,5,0,11,5,2.22968574621637,2.36824505124803
"2222","noroBE",4,2,"naive",250,4.68986471880827,10.2168007069732,2,6,0,12,1,2.33183797881922,2.5081800278304
"2223","noroBE",4,3,"naive",250,4.70936408936895,10.2823550596711,2,6,0,12,5,2.16279352122908,2.5248546811042
"2224","noroBE",4,4,"naive",250,5.59150141216418,13.4478488536328,3,8,0,14,0,3.49235687061403,2.56389728277002
"2225","noroBE",5,1,"naive",250,4.544744282893,9.73492772348182,2,6,0,12,2,1.99596482717423,2.36824505124803
